Cno.,C1S,C1E,C2S,C2E,C3S,C3E,C4S,C4E,C5S,C5E,CS,CE,CE-CS,EmoadP,SocadP,E-S
1,3,7,3,7,4,8,2,8,5,6,3.4,7.2,3.8,41,38,3
2,3,8,8,8,5,9,2,8,2,7,4,8,4,37,32,5
3,2,2,2,7,2,6,2,9,4,7,2.4,6.2,3.8,35,32,3
4,4,9,4,7,6,9,2,8,3,9,3.8,8.4,4.6,46,36,10
5,7,7,8,5,2,8,2,7,1,8,4,7,3,40,34,6
6,2,8,2,8,1,8,2,4,3,7,2,7,5,47,38,9
7,8,5,8,3,7,5,2,6,8,3,6.6,4.4,-2.2,33,36,-3
8,2,6,3,5,1,7,2,3,5,2,2.6,4.6,2,42,42,0
9,9,8,9,7,7,3,7,4,9,1,8.2,4.6,-3.6,38,45,-7
10,4,6,7,6,6,6,6,2,8,2,6.2,4.4,-1.8,35,38,-3
11,2,3,2,5,4,4,2,10,1,10,2.2,6.4,4.2,40,28,12
12,3,8,5,7,1,5,2,3,2,8,2.6,6.2,3.6,42,37,5
13,5,6,7,4,4,5,4,4,1,9,4.2,5.6,1.4,45,35,10
14,2,7,5,6,1,3,2,4,6,5,3.2,5,1.8,38,38,0
15,2,7,4,6,7,0,4,4,8,1,5,3.6,-1.4,31,35,-4
16,1,6,6,9,2,6,3,7,0,10,2.4,7.6,5.2,46,28,18
17,6,9,2,7,5,7,2,9,1,9,3.2,8.2,5,45,23,22
18,2,8,2,4,3,1,2,5,9,2,3.6,4,0.4,32,36,-4
19,5,8,6,4,6,4,5,5,4,6,5.2,5.4,0.2,39,37,2
20,7,8,3,6,6,2,4,4,3,6,4.6,5.2,0.6,38,37,1
21,1,8,1,8,1,7,2,3,2,2,1.4,5.6,4.2,40,35,5
22,1,8,3,7,1,8,2,4,3,7,2,6.8,4.8,39,32,7
23,1,9,3,6,1,7,2,4,2,8,1.8,6.8,5,44,34,10
24,2,8,2,6,2,6,4,5,3,5,2.6,6,3.4,46,42,4
25,8,8,9,4,7,7,3,5,6,4,6.6,5.6,-1,36,36,0
26,3,8,3,6,4,6,2,6,1,9,2.6,7,4.4,41,32,9
27,2,7,6,7,4,8,2,5,8,2,4.4,5.8,1.4,38,40,-2
28,9,8,6,4,2,10,5,5,2,9,4.8,7.2,2.4,39,32,7
29,8,8,8,5,7,6,3,5,6,2,6.4,5.2,-1.2,46,46,0
30,2,8,4,6,5,5,5,5,3,8,3.8,6.4,2.6,42,37,5
31,1,7,4,7,1,6,7,7,2,9,3,7.2,4.2,43,30,13
32,7,7,7,6,6,6,2,2,3,8,5,5.8,0.8,40,36,4
33,2,8,5,7,1,7,2,4,2,9,2.4,7,4.6,41,31,10
34,4,9,5,8,7,8,3,8,1,9,4,8.4,4.4,45,33,12
35,6,8,3,6,9,3,5,5,7,2,6,4.8,-1.2,30,29,1
36,6,8,4,8,6,1,3,4,8,3,5.4,4.8,-0.6,33,31,2
37,1,8,2,7,1,7,2,4,3,4,1.8,6,4.2,36,29,7
38,2,8,3,7,3,0,2,6,3,2,2.6,4.6,2,35,32,3
39,4,7,4,9,3,3,4,4,2,4,3.4,5.4,2,43,39,4
40,6,6,6,3,1,2,3,5,2,9,3.6,5,1.4,35,31,4
41,2,2,3,5,1,2,1,1,1,1,1.6,2.2,0.6,45,35,10
42,1,1,1,1,1,1,1,1,1,3,1,1.4,0.4,39,28,11
43,1,1,1,1,1,1,1,1,1,1,1,1,0,41,41,0
44,1,1,1,1,1,3,1,1,1,2,1,1.6,0.6,41,33,8
45,1,1,1,1,1,2,1,1,1,3,1,1.6,0.6,36,26,10
46,1,1,1,1,1,1,1,1,1,3,1,1.4,0.4,49,42,7
47,1,3,2,2,2,3,1,1,1,3,1.4,2.4,1,32,25,7
48,1,2,2,2,3,3,1,1,3,1,2,1.8,-0.2,30,32,-2
49,1,2,2,1,2,2,1,1,3,1,1.8,1.4,-0.4,39,43,-4
50,2,1,1,1,2,2,1,1,1,1,1.4,1.2,-0.2,37,35,2
51,4,1,1,3,7,4,1,1,2,1,3,2,-1,32,31,1
52,1,1,1,1,1,1,1,1,1,3,1,1.4,0.4,38,32,6
53,1,1,2,1,2,2,1,1,1,5,1.4,2,0.6,34,28,6
54,1,1,1,1,2,1,1,1,1,3,1.2,1.4,0.2,29,23,6
55,1,1,3,1,1,1,1,1,1,1,1.4,1,-0.4,43,35,8
