NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
1,207,1,24,4,3,3,3,3,1,3,3,3,3,5,3,3,3,2,3,3,2,2,2,3,5,2,4,1,3,1,3,3,2,2,1,4,3,3,2,19,15,9,7,6,12,12,9,9,4,2,0,0
2,577,2,22,4,2,2,4,2,4,5,5,2,4,3,2,4,4,4,3,2,2,1,1,5,5,4,4,5,5,4,4,5,4,4,4,5,5,4,4,11,8,7,3,4,20,19,16,16,3,4,1,0
3,158,2,21,2,4,3,2,2,2,2,1,5,1,2,4,1,2,2,3,3,3,3,3,3,5,3,3,4,3,3,3,4,3,3,2,5,3,4,3,18,20,10,10,9,13,17,12,12,-2,0,-4,0
4,256,1,NA,3,2,3,3,2,4,4,4,2,3,2,3,3,3,2,3,2,2,2,2,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,11,12,8,7,6,14,14,13,13,-1,1,0,0
5,141,2,19,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,5,2,5,3,5,1,5,3,5,2,5,3,2,5,3,5,16,15,9,6,3,16,11,18,14,1,3,5,4
6,164,2,NA,3,2,3,3,2,4,3,4,2,3,4,1,3,3,3,2,2,1,1,1,4,4,3,3,4,4,3,3,4,4,3,3,3,4,3,3,13,13,5,6,3,16,15,12,12,0,-1,1,0
7,110,1,27,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,2,2,4,5,2,2,4,5,4,4,4,5,3,2,4,4,3,2,15,13,7,6,6,17,18,11,11,2,1,-1,0
8,210,2,22,3,3,5,2,4,2,4,3,3,2,4,3,3,3,2,3,2,2,2,2,2,5,3,4,2,5,3,4,4,2,4,3,5,3,4,3,19,17,8,7,6,14,14,14,14,2,1,0,0
9,302,1,22,4,2,1,4,2,5,4,4,2,4,1,2,4,3,4,4,2,2,1,1,5,4,5,4,5,3,5,3,5,2,5,2,5,4,5,3,8,9,8,4,4,17,16,16,16,-1,4,1,0
10,234,2,19,1,3,3,4,4,3,3,3,4,3,2,3,2,2,2,3,3,2,2,2,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,16,14,9,9,6,12,12,16,16,2,0,0,0
11,174,1,36,3,1,2,3,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,5,4,5,4,5,4,4,4,5,5,4,5,4,5,5,4,14,15,4,10,4,19,18,17,18,-1,-6,1,-1
12,251,2,20,2,2,3,3,4,4,4,4,1,4,3,2,3,3,3,3,2,1,1,1,3,4,3,4,3,4,3,4,4,2,4,3,4,2,4,3,12,12,7,6,3,13,13,14,14,0,1,0,0
13,250,2,27,4,3,3,4,3,4,3,3,2,2,3,3,3,3,2,3,3,2,2,2,5,3,4,2,5,3,4,3,5,3,4,1,5,2,4,2,14,14,9,7,6,15,16,13,11,0,2,-1,2
14,208,1,23,4,2,2,3,2,4,4,4,2,3,2,3,3,3,4,3,2,1,1,1,5,4,4,3,5,3,5,3,5,3,5,3,4,5,4,5,11,11,8,5,3,18,16,17,15,0,3,2,2
15,305,2,21,4,1,1,3,1,3,4,4,2,3,2,1,3,3,3,3,1,1,1,1,4,5,4,5,4,5,4,5,5,4,5,4,4,5,4,5,11,9,5,6,3,19,17,19,17,2,-1,2,2
