NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
1,207,1,24,4,3,3,3,3,1,3,3,3,3,5,3,3,3,2,3,3,2,2,2,3,5,2,4,1,3,1,3,3,2,2,1,4,3,3,2,19,14,9,7,6,12,12,9,9,5,2,0,0
2,149,1,22,4,2,3,3,1,4,4,4,1,4,1,1,3,3,4,3,3,2,2,2,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,7,11,7,5,6,20,20,4,4,-4,2,0,0
3,577,2,22,4,2,2,4,2,4,5,5,2,4,3,2,4,4,4,3,2,2,1,1,5,5,4,4,5,5,4,4,5,4,4,4,5,5,4,4,11,7,7,3,4,20,19,16,16,4,4,1,0
4,257,1,NA,4,2,2,3,2,4,4,3,2,3,1,3,2,3,3,3,3,2,2,2,4,3,4,2,3,5,2,4,5,4,4,3,3,5,3,4,10,11,9,7,6,19,13,16,10,-1,2,6,6
5,158,2,21,2,4,3,2,2,2,2,1,5,1,2,4,1,2,2,3,3,3,3,3,3,5,3,3,4,3,3,3,4,3,3,2,5,3,4,3,18,19,10,10,9,13,17,12,12,-1,0,-4,0
6,256,1,NA,3,2,3,3,2,4,4,4,2,3,2,3,3,3,2,3,2,2,2,2,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,11,11,8,7,6,14,14,13,13,0,1,0,0
7,141,2,19,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,5,2,5,3,5,1,5,3,5,2,5,3,2,5,3,5,16,14,9,6,3,16,11,18,14,2,3,5,4
8,138,2,24,4,2,2,1,2,2,2,4,2,4,2,2,4,4,4,4,2,1,1,1,5,5,4,3,5,4,4,3,5,4,4,3,5,5,4,4,12,14,8,3,3,19,19,15,14,-2,5,0,1
9,164,2,NA,3,2,3,3,2,4,3,4,2,3,4,1,3,3,3,2,2,1,1,1,4,4,3,3,4,4,3,3,4,4,3,3,3,4,3,3,13,12,5,6,3,16,15,12,12,1,-1,1,0
10,110,1,27,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,2,2,4,5,2,2,4,5,4,4,4,5,3,2,4,4,3,2,15,12,7,6,6,17,18,11,11,3,1,-1,0
11,210,2,22,3,3,5,2,4,2,4,3,3,2,4,3,3,3,2,3,2,2,2,2,2,5,3,4,2,5,3,4,4,2,4,3,5,3,4,3,19,16,8,7,6,14,14,14,14,3,1,0,0
12,302,1,22,4,2,1,4,2,5,4,4,2,4,1,2,4,3,4,4,2,2,1,1,5,4,5,4,5,3,5,3,5,2,5,2,5,4,5,3,8,8,8,4,4,17,16,16,16,0,4,1,0
13,234,2,19,1,3,3,4,4,3,3,3,4,3,2,3,2,2,2,3,3,2,2,2,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,16,13,9,9,6,12,12,16,16,3,0,0,0
14,174,1,36,3,1,2,3,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,5,4,5,4,5,4,4,4,5,5,4,5,4,5,5,4,14,14,4,10,4,19,18,17,18,0,-6,1,-1
15,251,2,20,2,2,3,3,4,4,4,4,1,4,3,2,3,3,3,3,2,1,1,1,3,4,3,4,3,4,3,4,4,2,4,3,4,2,4,3,12,11,7,6,3,13,13,14,14,1,1,0,0
16,250,2,27,4,3,3,4,3,4,3,3,2,2,3,3,3,3,2,3,3,2,2,2,5,3,4,2,5,3,4,3,5,3,4,1,5,2,4,2,14,13,9,7,6,15,16,13,11,1,2,-1,2
