no,age,gender,grade,emoadp,socadp,emoprop,socprop,emowb,socwb,emoval,socval,emoatt,socatt,cs,ce,ces,esadp,esprop,eswbp,esvalp,esattp
1,19,2,2,41,38,38,33,35,29,42,35,42,36,39.6,34.2,-5.4,3,5,6,7,6
2,19,2,1,37,32,33,28,36,31,40,31,38,31,36.8,30.6,-6.2,5,5,5,9,7
3,20,2,3,35,32,35,32,35,32,35,32,35,32,35,32,-3,3,3,3,3,3
4,19,2,1,46,36,46,37,47,35,47,35,47,35,46.6,35.6,-11,10,9,12,12,12
5,20,2,2,40,34,39,39,37,37,41,38,41,35,39.6,36.6,-3,6,0,0,3,6
6,22,1,3,47,38,43,32,41,35,44,37,43,30,43.6,34.4,-9.2,9,11,6,7,13
7,19,2,2,33,36,39,39,37,37,34,33,32,30,35,35,0,-3,0,0,1,2
8,22,2,3,42,42,36,36,38,38,42,42,42,42,40,40,0,0,0,0,0,0
9,20,2,2,38,45,37,40,33,35,40,43,38,45,37.2,41.6,4.4,-7,-3,-2,-3,-7
10,18,1,2,35,38,39,38,35,37,36,39,34,36,35.8,37.6,1.8,-3,1,-2,-3,-2
11,19,2,1,40,28,29,27,22,21,24,26,23,23,27.6,25,-2.6,12,2,1,-2,0
12,21,1,3,42,37,40,36,40,33,36,32,42,35,40,34.6,-5.4,5,4,7,4,7
13,19,2,2,45,35,40,33,37,31,40,32,40,32,40.4,32.6,-7.8,10,7,6,8,8
14,21,2,2,38,38,38,40,36,39,36,37,37,36,37,38,1,0,-2,-3,-1,1
15,21,2,3,31,35,31,34,23,25,36,37,35,36,31.2,33.4,2.2,-4,-3,-2,-1,-1
16,18,1,1,46,28,39,26,36,25,47,30,46,30,42.8,27.8,-15,18,13,11,17,16
17,19,2,1,45,23,39,20,41,17,42,20,42,14,41.8,18.8,-23,22,19,24,22,28
18,17,2,1,32,36,32,31,27,30,26,24,26,26,28.6,29.4,0.8,-4,1,-3,2,0
19,19,2,1,39,37,32,32,28,25,36,31,39,32,34.8,31.4,-3.4,2,0,3,5,7
20,18,1,1,38,37,38,37,43,44,37,37,35,36,38.2,38.2,0,1,1,-1,0,-1
21,19,2,1,40,35,40,36,39,34,42,36,42,36,40.6,35.4,-5.2,5,4,5,6,6
22,21,2,3,39,32,39,33,38,33,40,33,40,30,39.2,32.2,-7,7,6,5,7,10
23,20,2,2,44,34,42,34,39,31,41,33,41,32,41.4,32.8,-8.6,10,8,8,8,9
24,19,1,1,46,42,42,35,41,33,44,37,45,37,43.6,36.8,-6.8,4,7,8,7,8
25,19,2,1,36,36,37,32,36,31,35,33,36,30,36,32.4,-3.6,0,5,5,2,6
26,20,2,1,41,32,43,33,44,32,43,31,42,31,42.6,31.8,-10.8,9,10,12,12,11
27,19,2,1,38,40,39,38,38,38,41,41,38,41,38.8,39.6,0.8,-2,1,0,0,-3
28,19,2,1,39,32,35,33,39,36,41,34,44,38,39.6,34.6,-5,7,2,3,7,6
29,20,2,1,46,46,40,44,26,32,38,41,38,41,37.6,40.8,3.2,0,-4,-6,-3,-3
30,19,2,1,42,37,34,33,36,33,35,33,38,35,37,34.2,-2.8,5,1,3,2,3
31,18,2,1,43,30,32,31,33,31,43,33,41,30,38.4,31,-7.4,13,1,2,10,11
32,19,1,2,40,36,37,34,35,36,38,36,38,36,37.6,35.6,-2,4,3,-1,2,2
33,20,2,1,41,31,31,31,37,30,40,29,40,29,37.8,30,-7.8,10,0,7,11,11
34,20,2,1,45,33,35,32,33,31,45,34,38,27,39.2,31.4,-7.8,12,3,2,11,11
35,19,2,1,30,29,27,28,28,26,35,33,33,31,30.6,29.4,-1.2,1,-1,2,2,2
36,18,2,1,33,31,33,32,32,31,32,28,33,27,32.6,29.8,-2.8,2,1,1,4,6
37,20,2,3,36,29,35,29,36,28,36,27,37,27,36,28,-8,7,6,8,9,10
38,22,2,4,35,32,35,32,33,33,37,35,37,33,35.4,33,-2.4,3,3,0,2,4
39,19,1,1,43,39,41,33,40,34,38,32,41,35,40.6,34.6,-6,4,8,6,6,6
40,19,1,1,35,31,30,28,26,26,31,29,31,28,30.6,28.4,-2.2,4,2,0,2,3
41,20,1,1,45,35,26,22,22,22,17,17,25,23,27,23.8,-3.2,10,4,0,0,2
42,19,2,1,39,28,35,30,39,34,37,28,41,26,38.2,29.2,-9,11,5,5,9,15
43,20,2,2,41,41,39,39,39,39,43,44,39,41,40.2,40.8,0.6,0,0,0,-1,-2
44,18,2,1,41,33,39,33,39,33,39,34,39,33,39.4,33.2,-6.2,8,6,6,5,6
45,20,2,3,36,26,38,30,39,31,36,26,38,27,37.4,28,-9.4,10,8,8,10,11
46,19,2,1,49,42,44,44,41,41,48,45,48,45,46,43.4,-2.6,7,0,0,3,3
47,19,2,2,32,25,27,24,25,23,31,23,25,18,28,22.6,-5.4,7,3,2,8,7
48,17,1,1,30,32,32,32,36,36,33,31,30,29,32.2,32,-0.2,-2,0,0,2,1
49,18,2,1,39,43,37,37,35,37,37,39,37,38,37,38.8,1.8,-4,0,-2,-2,-1
50,19,1,1,37,35,30,30,26,26,34,34,29,27,31.2,30.4,-0.8,2,0,0,0,2
51,19,1,1,32,31,31,31,31,32,31,31,30,30,31,31,0,1,0,-1,0,0
52,19,2,2,38,32,38,34,35,31,40,38,40,36,38.2,34.2,-4,6,4,4,2,4
53,20,1,2,34,28,28,26,25,24,29,26,30,25,29.2,25.8,-3.4,6,2,1,3,5
54,18,1,1,29,23,31,30,31,30,25,22,29,25,29,26,-3,6,1,1,3,4
55,20,2,3,43,35,40,34,42,36,32,31,42,34,39.8,34,-5.8,8,6,6,1,8
