no,age,gender,grade,emoadp,socadp,emoprop,socprop,emowb,socwb,emoval,socval,emoatt,socatt,CS,CE,ces,esadp,esprop,eswbp,esvalp,esattp
1,19,2,2,41,38,38,33,35,29,42,35,42,36,3.4,7.2,3.8,3,5,6,7,6
2,19,2,1,37,32,33,28,36,31,40,31,38,31,4,8,4,5,5,5,9,7
3,20,2,3,35,32,35,32,35,32,35,32,35,32,2.4,6.2,3.8,3,3,3,3,3
4,19,2,1,46,36,46,37,47,35,47,35,47,35,3.8,8.4,4.6,10,9,12,12,12
5,20,2,2,40,34,39,39,37,37,41,38,41,35,4,7,3,6,0,0,3,6
6,22,1,3,47,38,43,32,41,35,44,37,43,30,2,7,5,9,11,6,7,13
7,19,2,2,33,36,39,39,37,37,34,33,32,30,6.6,4.4,-2.2,-3,0,0,1,2
8,22,2,3,42,42,36,36,38,38,42,42,42,42,2.6,4.6,2,0,0,0,0,0
9,20,2,2,38,45,37,40,33,35,40,43,38,45,8.2,4.6,-3.6,-7,-3,-2,-3,-7
10,18,1,2,35,38,39,38,35,37,36,39,34,36,6.2,4.4,-1.8,-3,1,-2,-3,-2
11,19,2,1,40,28,29,27,22,21,24,26,23,23,2.2,6.4,4.2,12,2,1,-2,0
12,21,1,3,42,37,40,36,40,33,36,32,42,35,2.6,6.2,3.6,5,4,7,4,7
13,21,2,2,38,38,38,40,36,39,36,37,37,36,3.2,5,1.8,0,-2,-3,-1,1
14,21,2,3,31,35,31,34,23,25,36,37,35,36,5,3.6,-1.4,-4,-3,-2,-1,-1
15,18,1,1,38,37,38,37,43,44,37,37,35,36,4.6,5.2,0.6,1,1,-1,0,-1
16,19,2,1,40,35,40,36,39,34,42,36,42,36,1.4,5.6,4.2,5,4,5,6,6
17,21,2,3,39,32,39,33,38,33,40,33,40,30,2,6.8,4.8,7,6,5,7,10
18,20,2,2,44,34,42,34,39,31,41,33,41,32,1.8,6.8,5,10,8,8,8,9
19,19,1,1,46,42,42,35,41,33,44,37,45,37,2.6,6,3.4,4,7,8,7,8
20,19,2,1,36,36,37,32,36,31,35,33,36,30,6.6,5.6,-1,0,5,5,2,6
21,20,2,1,41,32,43,33,44,32,43,31,42,31,2.6,7,4.4,9,10,12,12,11
22,19,2,1,38,40,39,38,38,38,41,41,38,41,4.4,5.8,1.4,-2,1,0,0,-3
23,19,2,1,39,32,35,33,39,36,41,34,44,38,4.8,7.2,2.4,7,2,3,7,6
24,20,2,1,46,46,40,44,26,32,38,41,38,41,6.4,5.2,-1.2,0,-4,-6,-3,-3
25,19,2,1,42,37,34,33,36,33,35,33,38,35,3.8,6.4,2.6,5,1,3,2,3
26,18,2,1,43,30,32,31,33,31,43,33,41,30,3,7.2,4.2,13,1,2,10,11
27,19,1,2,40,36,37,34,35,36,38,36,38,36,5,5.8,0.8,4,3,-1,2,2
28,20,2,1,41,31,31,31,37,30,40,29,40,29,2.4,7,4.6,10,0,7,11,11
29,20,2,1,45,33,35,32,33,31,45,34,38,27,4,8.4,4.4,12,3,2,11,11
30,19,2,1,30,29,27,28,28,26,35,33,33,31,6,4.8,-1.2,1,-1,2,2,2
31,18,2,1,33,31,33,32,32,31,32,28,33,27,5.4,4.8,-0.6,2,1,1,4,6
32,20,2,3,36,29,35,29,36,28,36,27,37,27,1.8,6,4.2,7,6,8,9,10
33,22,2,4,35,32,35,32,33,33,37,35,37,33,2.6,4.6,2,3,3,0,2,4
34,19,1,1,43,39,41,33,40,34,38,32,41,35,3.4,5.4,2,4,8,6,6,6
35,19,1,1,35,31,30,28,26,26,31,29,31,28,3.6,5,1.4,4,2,0,2,3
36,20,1,1,45,35,26,22,22,22,17,17,25,23,1.6,2.2,0.6,10,4,0,0,2
37,19,2,1,39,28,35,30,39,34,37,28,41,26,1,1.4,0.4,11,5,5,9,15
38,20,2,2,41,41,39,39,39,39,43,44,39,41,1,1,0,0,0,0,-1,-2
39,18,2,1,41,33,39,33,39,33,39,34,39,33,1,1.6,0.6,8,6,6,5,6
40,20,2,3,36,26,38,30,39,31,36,26,38,27,1,1.6,0.6,10,8,8,10,11
41,19,2,1,49,42,44,44,41,41,48,45,48,45,1,1.4,0.4,7,0,0,3,3
42,19,2,2,32,25,27,24,25,23,31,23,25,18,1.4,2.4,1,7,3,2,8,7
43,17,1,1,30,32,32,32,36,36,33,31,30,29,2,1.8,-0.2,-2,0,0,2,1
44,18,2,1,39,43,37,37,35,37,37,39,37,38,1.8,1.4,-0.4,-4,0,-2,-2,-1
45,19,1,1,37,35,30,30,26,26,34,34,29,27,1.4,1.2,-0.2,2,0,0,0,2
46,19,1,1,32,31,31,31,31,32,31,31,30,30,3,2,-1,1,0,-1,0,0
47,19,2,2,38,32,38,34,35,31,40,38,40,36,1,1.4,0.4,6,4,4,2,4
48,20,1,2,34,28,28,26,25,24,29,26,30,25,1.4,2,0.6,6,2,1,3,5
49,18,1,1,29,23,31,30,31,30,25,22,29,25,1.2,1.4,0.2,6,1,1,3,4
50,20,2,3,43,35,40,34,42,36,32,31,42,34,1.4,1,-0.4,8,6,6,1,8
