EmoproP,SocproP,EmoadP,SocadP,EmoWB,SocWB,EmoVal,SocVal,EmoAtt,SocAtt,emo,soc,,,,,
35,38,36,39,36,38,36,37,29,33,34.4,37,,,,,
24,23,28,24,23,22,23,22,24,21,24.4,22.4,,,,,
35,32,40,34,36,34,34,34,32,32,35.4,33.2,,,,,
37,29,40,32,29,26,34,33,40,31,36,30.2,,,,,
36,34,38,36,35,34,33,33,35,32,35.4,33.8,,,,,
38,32,38,33,38,30,29,32,35,27,35.6,30.8,,,,,
34,32,39,34,34,30,39,36,41,39,37.4,34.2,,,,,
47,43,47,40,48,46,46,45,45,40,46.6,42.8,,,,,
36,36,39,37,34,33,34,34,43,40,37.2,36,,,,,
35,34,45,40,30,29,42,42,46,43,39.6,37.6,,,,,
46,40,45,42,40,39,44,39,43,37,43.6,39.4,,,,,
38,34,36,30,37,36,34,36,37,35,36.4,34.2,,,,,
39,39,40,39,36,35,40,39,39,37,38.8,37.8,,,,,
36,37,39,39,38,38,39,38,36,38,37.6,38,,,,,
16,15,20,22,14,13,21,19,19,17,18,17.2,,,,,
43,27,44,29,41,25,44,27,42,25,42.8,26.6,,,,,
34,26,41,24,37,30,35,22,35,20,36.4,24.4,,,,,
28,28,36,28,26,25,30,28,35,28,31,27.4,,,,,
35,33,35,29,34,32,29,30,34,29,33.4,30.6,,,,,
41,38,44,38,41,37,41,38,42,37,41.8,37.6,,,,,
40,39,43,36,41,38,38,33,40,38,40.4,36.8,,,,,
31,30,31,27,36,31,33,25,30,21,32.2,26.8,,,,,
41,35,43,37,42,34,37,39,42,37,41,36.4,,,,,
29,29,36,31,30,30,32,30,34,30,32.2,30,,,,,
40,34,42,29,38,32,46,37,44,30,42,32.4,,,,,
36,35,37,28,36,35,32,34,34,32,35,32.8,,,,,
41,35,40,32,37,35,41,33,41,34,40,33.8,,,,,
34,34,39,33,30,28,38,33,33,31,34.8,31.8,,,,,
35,31,39,31,33,28,37,31,34,28,35.6,29.8,,,,,
31,29,28,27,30,28,38,36,34,34,32.2,30.8,,,,,
31,30,35,33,29,28,31,31,32,28,31.6,30,,,,,
32,32,42,33,28,28,41,34,39,34,36.4,32.2,,,,,
30,30,37,31,26,26,32,31,31,29,31.2,29.4,,,,,
31,30,26,25,20,24,23,27,21,21,24.2,25.4,,,,,
37,32,39,36,42,38,38,36,35,35,38.2,35.4,,,,,
31,29,38,30,30,27,35,33,33,29,33.4,29.6,,,,,
35,31,38,34,35,32,38,34,36,31,36.4,32.4,,,,,
39,31,40,33,36,31,38,33,38,29,38.2,31.4,,,,,
30,24,35,25,29,24,31,32,35,24,32,25.8,,,,,
34,31,36,33,32,29,38,34,34,30,34.8,31.4,,,,,
33,33,35,36,32,32,32,34,33,35,33,34,,,,,
31,31,34,36,33,34,35,35,34,34,33.4,34,,,,,
31,24,37,25,30,26,28,19,30,21,31.2,23,,,,,
33,33,37,34,33,32,35,35,33,33,34.2,33.4,,,,,
14,11,13,8,11,8,11,8,10,9,11.8,8.8,,,,,
