No.,Type,Gender,Age,Grade,Obj,Sub,EmoadP,SocadP,EmoproP,SocproP,EmoWB,SocWB,EmoVal,SocVal,EmoAtt,SocAtt,esadp,esprop,eswb,esval,esatt
1,1,2,20,2,7,5,36,39,35,38,36,38,36,37,29,33,-3,-3,-2,-1,-4
2,1,2,20,1,9,7,28,24,24,23,23,22,23,22,24,21,4,1,1,1,3
3,1,1,19,1,8,4,40,34,35,32,36,34,34,34,32,32,6,3,2,0,0
4,1,2,19,2,6,8,40,32,37,29,29,26,34,33,40,31,8,8,3,1,9
5,1,1,19,1,7,7,38,36,36,34,35,34,33,33,35,32,2,2,1,0,3
6,1,1,20,1,7,7,38,33,38,32,38,30,29,32,35,27,5,6,8,-3,8
7,1,1,22,3,8,7,39,34,34,32,34,30,39,36,41,39,5,2,4,3,2
8,1,2,19,1,7,8,47,40,47,43,48,46,46,45,45,40,7,4,2,1,5
9,1,1,19,1,7,8,39,37,36,36,34,33,34,34,43,40,2,0,1,0,3
10,1,2,18,1,7,6,45,40,35,34,30,29,42,42,46,43,5,1,1,0,3
11,1,2,20,3,8,7,45,42,46,40,40,39,44,39,43,37,3,6,1,5,6
12,1,1,19,1,7,5,36,30,38,34,37,36,34,36,37,35,6,4,1,-2,2
13,1,2,21,3,7,6,40,39,39,39,36,35,40,39,39,37,1,0,1,1,2
14,1,2,20,2,7,8,39,39,36,37,38,38,39,38,36,38,0,-1,0,1,-2
15,1,2,21,2,7,8,20,22,16,15,14,13,21,19,19,17,-2,1,1,2,2
16,2,2,19,1,8,7,44,29,43,27,41,25,44,27,42,25,15,16,16,17,17
17,2,1,19,1,7,9,41,24,34,26,37,30,35,22,35,20,17,8,7,13,15
18,2,2,20,1,6,7,36,28,28,28,26,25,30,28,35,28,8,0,1,2,7
19,2,2,20,2,7,6,35,29,35,33,34,32,29,30,34,29,6,2,2,-1,5
20,2,2,20,1,7,7,44,38,41,38,41,37,41,38,42,37,6,3,4,3,5
21,2,2,20,2,7,6,43,36,40,39,41,38,38,33,40,38,7,1,3,5,2
22,2,1,20,1,8,9,31,27,31,30,36,31,33,25,30,21,4,1,5,8,9
23,2,1,19,1,7,6,43,37,41,35,42,34,37,39,42,37,6,6,8,-2,5
24,2,2,19,1,9,9,36,31,29,29,30,30,32,30,34,30,5,0,0,2,4
25,2,2,20,2,7,8,42,29,40,34,38,32,46,37,44,30,13,6,6,9,14
26,2,2,18,1,7,6,37,28,36,35,36,35,32,34,34,32,9,1,1,-2,2
27,2,2,20,2,7,7,40,32,41,35,37,35,41,33,41,34,8,6,2,8,7
28,2,2,20,2,7,7,39,33,34,34,30,28,38,33,33,31,6,0,2,5,2
29,2,2,20,2,6,6,39,31,35,31,33,28,37,31,34,28,8,4,5,6,6
30,2,2,19,1,8,6,28,27,31,29,30,28,38,36,34,34,1,2,2,2,0
31,3,2,21,3,2,3,35,33,31,30,29,28,31,31,32,28,2,1,1,0,4
32,3,2,18,1,2,2,42,33,32,32,28,28,41,34,39,34,9,0,0,7,5
33,3,2,18,1,2,1,37,31,30,30,26,26,32,31,31,29,6,0,0,1,2
34,3,2,20,1,1,1,26,25,31,30,20,24,23,27,21,21,1,1,-4,-4,0
35,3,2,21,2,4,6,39,36,37,32,42,38,38,36,35,35,3,5,4,2,0
36,3,2,21,3,4,5,38,30,31,29,30,27,35,33,33,29,8,2,3,2,4
37,3,2,19,1,2,2,38,34,35,31,35,32,38,34,36,31,4,4,3,4,5
38,3,2,18,1,3,5,40,33,39,31,36,31,38,33,38,29,7,8,5,5,9
39,3,2,21,3,2,2,35,25,30,24,29,24,31,32,35,24,10,6,5,-1,11
40,3,2,21,3,2,3,36,33,34,31,32,29,38,34,34,30,3,3,3,4,4
41,3,1,18,1,3,2,35,36,33,33,32,32,32,34,33,35,-1,0,0,-2,-2
42,3,2,19,2,4,5,34,36,31,31,33,34,35,35,34,34,-2,0,-1,0,0
43,3,1,22,4,4,3,37,25,31,24,30,26,28,19,30,21,12,7,4,9,9
44,3,1,23,4,7,3,37,34,33,33,33,32,35,35,33,33,3,0,1,0,0
45,3,1,22,4,5,1,35,30,34,31,31,28,31,28,30,29,5,3,3,3,1
